T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, e-
1496.21, 0.744637, 0.227738, 0.00121863, 9.35132e-56, 2.08772e-06, 0.0264039, 1.51423e-35, 4.6153e-268, 1.33758e-20, 0
1517.82, 0.744574, 0.227666, 0.00135291, 4.64346e-49, 2.77226e-06, 0.0264039, 1.02145e-34, 1.62927e-254, 6.32565e-20, 0
1539.35, 0.744507, 0.227588, 0.00149699, 8.03469e-46, 3.64819e-06, 0.0264039, 8.95076e-37, 1.76121e-251, 1.08102e-19, 0
1560.8, 0.744435, 0.227505, 0.00165117, 1.0267e-42, 4.75972e-06, 0.0264039, 5.60191e-39, 1.05582e-248, 1.18438e-19, 0
1582.17, 0.744358, 0.227416, 0.00181571, 2.11738e-37, 6.15908e-06, 0.0264039, 2.82574e-38, 2.64771e-236, 2.43074e-19, 0
1603.46, 0.744277, 0.227321, 0.00199088, 8.26958e-35, 7.90749e-06, 0.0264039, 2.13652e-40, 7.96221e-234, 2.4241e-19, 0
1624.67, 0.74419, 0.227219, 0.0021769, 2.38135e-30, 1.00762e-05, 0.0264039, 5.93166e-39, 2.06316e-221, 1.71486e-18, 0
1645.8, 0.744098, 0.227112, 0.00237399, 3.27293e-28, 1.27477e-05, 0.0264039, 7.73376e-41, 4.28448e-219, 2.03422e-18, 0
1666.85, 0.744, 0.226997, 0.00258234, 3.89941e-26, 1.60167e-05, 0.0264039, 5.24484e-43, 3.84787e-217, 1.1636e-18, 0
1687.81, 0.743898, 0.226876, 0.00280211, 8.42119e-23, 1.99912e-05, 0.0264039, 1.98616e-41, 1.9709e-205, 7.34386e-18, 0
1708.69, 0.74379, 0.226748, 0.00303345, 4.22187e-21, 2.4794e-05, 0.0264039, 3.34524e-43, 2.16666e-203, 8.34501e-18, 0
1729.49, 0.743676, 0.226613, 0.00327648, 1.60174e-19, 3.05635e-05, 0.0264039, 3.37967e-45, 1.13269e-201, 4.95172e-18, 0
1750.2, 0.743557, 0.22647, 0.00353131, 5.53129e-18, 3.74548e-05, 0.0264039, 1.33652e-46, 1.85042e-199, 9.76985e-18, 0
1770.82, 0.743433, 0.22632, 0.00379798, 7.72674e-16, 4.56411e-05, 0.0264039, 4.15433e-45, 6.98672e-189, 1.88022e-17, 0
1791.34, 0.743303, 0.226161, 0.00407655, 1.32516e-14, 5.53141e-05, 0.0264039, 1.49909e-46, 5.68442e-187, 2.01097e-17, 0
1811.78, 0.743167, 0.225995, 0.00436703, 1.76302e-13, 6.66853e-05, 0.0264039, 6.84041e-48, 5.05135e-185, 2.14075e-17, 0
