x,y,density,u-vel,v-vel,pressure,temperature,a,e
1.2075,0.0617376,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2225,0.0657367,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2375,0.0697358,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2525,0.073735,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2675,0.0777341,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2825,0.0817333,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.2975,0.0857324,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3125,0.0897315,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3275,0.0937307,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3425,0.0977298,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3575,0.101729,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3725,0.105728,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.3875,0.109727,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4025,0.113726,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4175,0.117726,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4325,0.121725,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4475,0.125724,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4625,0.129723,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4775,0.133722,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.4925,0.137721,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5075,0.14172,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5225,0.14572,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5375,0.149719,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5525,0.153718,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5675,0.157717,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5825,0.161716,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.5975,0.165715,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6125,0.169714,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6275,0.173714,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6425,0.177713,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6575,0.181712,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6725,0.185711,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.6875,0.18971,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7025,0.193709,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7175,0.197708,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7325,0.201708,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7475,0.205707,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7625,0.209706,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7775,0.213705,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.7925,0.217704,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8075,0.221703,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8225,0.225702,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8375,0.229702,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8525,0.233701,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8675,0.2377,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8825,0.241699,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.8975,0.245698,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9125,0.249697,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9275,0.253696,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9425,0.257695,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9575,0.261695,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
1.9725,0.265694,nan,nan,nan,9.42824e+06,15535.4,3470.23,nan
