Iteration,de_max,dedt,res
188,1.64097,-1790.01,37.7196
189,1.47651,-1814.78,34.4197
190,1.52164,-1825.97,30.9413
191,1.35727,498.488,27.7407
192,1.09925,-1806.76,25.1235
193,1.14124,-2822.31,22.2024
194,0.893468,457.059,19.9431
195,0.886049,-2683.57,18.1551
196,0.93091,-79.9567,15.7075
197,0.655258,481.159,13.9195
198,0.650906,-2942.27,12.226
199,0.610361,-46.2298,10.4627
200,0.457557,-428.628,9.17906
201,0.399991,-1607.71,8.43523
202,0.353671,-602.806,7.5253
203,0.377211,-482.751,6.25133
204,0.317267,244.185,5.09484
205,0.220897,-618.908,4.34471
206,0.188033,-990.357,3.69136
207,0.159116,-336.172,3.12236
208,0.133846,-294.435,2.61729
209,0.111923,-256.113,2.19035
210,0.0930369,-221.188,1.82647
211,0.076877,-189.672,1.51566
212,0.0631372,-161.562,1.25125
213,0.0515375,-136.748,1.02785
214,0.0418074,-114.93,0.840399
215,0.0337036,-95.9755,0.683248
216,0.0269989,-79.5785,0.552363
217,0.021493,-65.5489,0.444077
218,0.0170028,-53.5909,0.355007
219,0.0136486,-43.514,0.282247
220,0.0111143,-32.3628,0.223114
221,0.00899377,-24.3456,0.175441
222,0.00722597,-20.2824,0.137053
223,0.00576821,-16.836,0.106521
224,0.00456767,-13.8236,0.0821756
225,0.0035953,-11.3359,0.0631266
226,0.00280875,-9.14225,0.0481566
227,0.00218145,-7.3639,0.0365498
228,0.00168497,-5.84813,0.0276488
229,0.00128663,-4.60912,0.0206145
230,0.000984,-3.68252,0.0155736
231,0.000734456,-2.7861,0.0113655
232,0.000560062,-2.28782,0.00879698
233,0.000406955,-1.59224,0.00638401
234,0.000314487,-1.39213,0.00546234
235,0.000217009,-0.837329,0.00435598
236,0.000174516,-0.879088,0.00454048
237,0.000108148,-0.381654,0.00441466
238,9.68136e-05,-0.593688,0.00490984
239,5.49308e-05,-0.100978,0.00507587
240,5.53237e-05,-0.371645,0.00540945
241,6.24529e-05,0.0034723,0.00548223
242,6.4436e-05,0.062756,0.00549576
243,7.36682e-05,0.0173877,0.00538588
244,6.35756e-05,0.0806269,0.00527066
245,5.14715e-05,-0.0877935,0.00524672
246,5.75262e-05,-0.104878,0.0053009
247,6.31377e-05,0.0522567,0.00557188
248,6.51573e-05,0.0482435,0.00638127
249,5.78563e-05,0.0172956,0.00804003
250,5.5636e-05,-0.0622834,0.0103599
251,8.719e-05,-0.0188683,0.0128253
252,0.00011265,0.267119,0.0149817
253,0.00013117,0.214708,0.0166313
254,0.000155367,0.155588,0.0178775
255,0.000171991,0.202514,0.0190894
256,0.000182365,0.138607,0.0209908
257,0.000189611,0.0861708,0.0247328
258,0.000194478,0.0599572,0.0314399
259,0.000211982,0.0401291,0.0415107
260,0.000263927,0.14377,0.0545252
261,0.000353722,0.42508,0.0694747
262,0.00042199,0.732109,0.0848576
263,0.000458149,0.554552,0.0987748
264,0.000636777,0.292647,0.109173
265,0.000788321,1.44042,0.114225
266,0.000860728,1.21759,0.112927
267,0.000795529,0.579645,0.106175
268,0.000927394,-0.52006,0.0982658
269,0.00102962,1.04804,0.0965682
270,0.000953794,0.809574,0.104929
271,0.000847402,-0.598358,0.117936
272,0.00112145,-0.836562,0.127569
273,0.00124903,2.14719,0.131874
274,0.0012117,0.996051,0.138654
275,0.00114985,-0.290429,0.161158
276,0.00149809,-0.479508,0.204302
277,0.00228791,2.69034,0.261549
278,0.00314263,6.08047,0.324511
279,0.00387684,6.55728,0.38742
280,0.00437925,5.6133,0.4454
281,0.00456794,3.82781,0.491522
282,0.00438586,1.43264,0.517514
283,0.00487781,-1.37774,0.520778
284,0.00544878,3.70979,0.514495
285,0.00557676,4.291,0.528797
286,0.00525316,0.958512,0.586903
287,0.00575733,-2.41552,0.67907
288,0.00616198,3.75075,0.778787
289,0.00683362,3.00022,0.871447
290,0.00882547,4.96315,0.959556
291,0.0104126,14.6699,1.04923
292,0.0114092,11.6506,1.13758
293,0.0117503,7.29097,1.21715
294,0.0122988,2.48703,1.29148
295,0.0122879,3.98678,1.38123
296,0.0138087,-0.0789332,1.51047
297,0.015868,10.9808,1.68554
298,0.0166101,14.8212,1.89167
299,0.0168845,5.32368,2.10937
300,0.0199506,1.96159,2.33155
301,0.0222811,21.8536,2.56768
302,0.0229544,16.5572,2.83316
303,0.0227384,4.76749,3.13368
304,0.0272475,-1.52446,3.46649
305,0.0323648,31.7285,3.84487
306,0.0386947,35.8944,4.30573
307,0.0460063,44.259,4.85243
308,0.0526113,50.9614,5.37864
309,0.0558513,45.8926,5.68455
310,0.0536164,22.4411,5.59547
311,0.0513378,-15.4317,5.10748
312,0.0542277,-15.6835,4.49631
313,0.0518818,19.8295,4.25418
314,0.0432049,-16.0473,4.58823
315,0.052521,-59.1709,5.11531
316,0.0622731,63.3345,5.41265
317,0.0638586,66.096,5.40251
318,0.0569091,10.7125,5.37529
319,0.0578438,-46.8135,5.83893
320,0.062509,6.27778,7.10143
321,0.0643133,31.2351,8.99424
322,0.0746995,12.0441,11.0924
323,0.101952,69.1208,12.9482
324,0.12776,180.823,14.2174
325,0.147585,170.729,14.7661
326,0.156307,130.75,14.7236
327,0.173956,57.3604,14.4262
328,0.197537,115.709,14.3197
329,0.205971,154.147,14.9147
330,0.19476,54.9725,16.6497
331,0.176101,-72.8567,19.5301
332,0.194233,-120.895,22.9963
333,0.209567,117.136,26.251
334,0.227313,98.7773,28.6388
335,0.247516,113.982,29.8639
336,0.263536,129.386,30.0854
337,0.264026,102.304,29.803
338,0.237656,3.11696,29.4334
339,0.250735,-167.426,28.7859
340,0.283421,82.8013,27.1042
341,0.280264,206.346,23.8423
342,0.234592,-19.8738,19.7133
343,0.184299,-286.684,17.5645
344,0.123481,-314.789,20.3479
345,0.188073,-379.599,26.5188
346,0.261975,402.018,33.3795
347,0.306321,458.668,40.0096
348,0.362063,274.455,46.5573
349,0.554997,344.031,53.4397
350,0.741646,1187.42,61.2164
351,0.907062,1145.56,70.7373
352,1.04147,1012.42,82.6031
353,1.13713,820.364,96.3138
354,1.17132,582.249,110.09
355,1.12083,207.551,121.714
356,1.24382,-305.629,129.562
357,1.34952,742.459,133.217
358,1.4169,636.389,133.449
359,1.45216,404.498,131.646
360,1.46809,211.125,129.164
361,1.46467,95.1335,127.615
362,1.42223,-20.3469,129.939
363,1.35961,-252.041,139.071
364,1.2611,-370.946,154.174
365,1.5087,-582.012,169.467
366,1.71126,1458.89,178.462
367,1.79261,1190.27,177.708
368,1.76663,476.78,168.678
369,1.66545,-151.847,157.396
370,1.50513,-589.834,152.322
371,1.26562,-932.2,160.908
372,1.05349,-1388.95,187.996
373,1.47089,-1226.99,236.742
374,2.20426,2407.97,307.184
375,2.98453,4219.71,394.371
376,3.73247,4477.92,488.869
377,4.38243,4281.27,578.982
378,4.88593,3710.77,653.076
379,5.24467,2867.23,701.24
380,5.8701,2037.62,719.062
381,6.1973,3543.3,708.095
382,6.25265,1848.95,679.16
383,6.08035,311.966,649.773
384,5.79179,-968.715,637.957
385,5.48463,-1618.2,648.923
386,5.94142,-1718.11,670.532
387,6.27011,2548.67,682.695
388,6.32062,1829.29,672.662
389,6.03638,280.408,636.534
390,5.47898,-1573.99,576.576
391,5.45631,-3078.93,497.376
392,4.85235,-124.894,417.557
393,5.10279,-3319.54,391.54
394,5.80721,1373.07,469.423
395,6.41671,3852.49,608.451
396,6.82027,3325.17,742.698
397,7.09332,2196.21,840.972
398,7.36826,1482.28,908.874
399,7.71413,1488.93,970.576
400,8.03772,1868.47,1048.74
401,8.61876,1743.8,1144.69
402,10.4183,3123.6,1246.56
403,12.1676,9650.55,1334.79
404,13.9561,9358.84,1392.2
405,15.1943,9544.96,1409.38
406,15.9625,6591.91,1381.9
407,15.7549,4080.25,1309.16
408,14.4667,-1099.62,1203.93
409,12.1449,-6809.57,1102.01
410,9.49573,-12243.5,1081.28
411,9.18231,-13936.3,1194.59
412,11.8943,-1644.91,1390.59
413,16.1174,14199.2,1549.63
414,18.9424,22059.2,1577.31
415,18.7527,14721.3,1437.77
416,16.1091,-986.461,1207.57
417,11.9233,-13711.1,1129.37
418,13.0778,-21659.5,1418.18
419,15.3022,5959.96,1927.24
420,22.0268,11456.3,2426.75
421,30.4582,34553.6,2804.6
422,36.403,43222.6,2999.13
423,41.6464,30405.3,3036.37
424,43.3413,26755.7,2957.13
425,43.3658,8628.66,2935.64
426,41.134,124.612,3120.54
427,36.2868,-11310,3607.83
428,33.8014,-24507.8,4258.44
429,50.0749,-12537.7,4895.64
430,58.1046,81905.1,5321.43
431,62.7987,40321.5,5542.34
432,61.8981,23518.2,5550.96
433,57.7718,-4502.17,5509.61
434,54.7339,-20580,5457.11
435,52.7121,-15117.6,5500.69
436,53.1572,-10038.7,5566.63
437,56.2594,2205.38,5646.23
438,56.929,15333.8,5623.8
439,55.6974,3302.46,5477.24
440,54.5404,-6060.49,5187.89
441,53.4109,-5681.04,4813.33
442,52.044,-5533.59,4531.04
443,50.6234,-6681.53,4483.8
444,53.1061,-6929.1,4886.1
445,56.571,12082.9,5704
446,66.1687,16825.4,6833.62
447,72.807,46504.5,8037.73
448,81.2464,32094.4,9085.19
449,84.0083,40713.6,9703.98
450,88.5834,13295.1,9809.45
451,86.3322,21975.1,9369.97
452,80.995,-10789.4,8568.49
453,86.5817,-25524.7,7834.96
454,84.1296,26660.1,7234.86
455,67.0166,-11676.4,6944.78
456,61.7174,-81314,6959.93
457,70.6438,-25125.6,7243.45
458,76.8275,42233,7815.1
459,76.334,29194,8297.44
460,74.7772,-2324.84,8438.66
461,82.0258,-7318.35,8175.42
462,74.1558,34003.2,7472.63
463,77.5518,-36840.2,6791.88
464,70.6514,15863.4,6592.65
465,80.6806,-32165.3,7377.79
466,87.8834,46651.3,9132.73
467,85.9625,33433.8,11398.6
468,117.966,-8897.38,13791.1
469,178.286,147933,16470.6
470,193.406,278237,18801.4
471,246.565,69598.3,21345.2
472,258.41,244189,22861.5
473,275.038,54299.1,23820
474,267.833,76062.9,23210.8
475,225.019,-32890.4,21195.7
476,188.38,-195045,18315.9
477,154.935,-166573,14970.6
478,130.667,-151736,12553.7
479,109.667,-109877,11400.1
480,97.9341,-94886.9,11225
481,112.949,-52905.6,11526
482,120.76,67565,11869.7
483,127.381,35081.4,12398.6
484,122.782,29670.6,13126.6
485,118.263,-20566.5,14324
486,151.457,-20171.4,16678.8
487,188.057,147866,19720.6
488,215.458,162709,23134.5
489,258.514,121571,25612.2
490,223.957,190645,27057.7
491,256.497,-152705,27316.5
492,403.864,143506,28156.1
493,403.79,648619,28949.5
494,259.67,-324.956,30489.1
495,404.924,-631808,32091.4
496,639.777,635518,nan
